Frameworx Application,Category,Application Identifier,Overview,Frameworx Function (contained by),Frameworx Domain (Horizontal),Maturity Level,Frameworx Status,LV1,LV2,LV3,LV4,LV5,LEVEL,PARENT,Status
Contract Generation,(2) TAM Application Type,3.8.1,Contract Generation applications provide the functionality to generate a contract.,"Contract and SLA Generation
Contract Template creation and maintenance",Market Sales Domain,4,Released,3,8,1,,,2,3.8,1
Contract Implementation,(2) TAM Application Type,3.8.2,"Contract Implementation applications provide functionality pertaining to the implementation of the contract across fulfillment, assurance, and billing.",Contract Implementation,Market Sales Domain,4,Released,3,8,2,,,2,3.8,1
Contract Tracking & Storage,(2) TAM Application Type,3.8.3,"Contract Tracking and Storage provides the ability to view customer's existing contracts, search for customer contracts based on meta-data and to search text strings within contracts. There is a central repository for contract storage as well as the associated contract meta-data. This data can be mined for Campaigns and Lead Generation.","Contract Enquiry
Contract Storage",Market Sales Domain,4,Released,3,8,3,,,2,3.8,1
Campaign & Funnel Management,(1) TAM Application Type,3.9,Campaign & Funnel Management provides the necessary functionality to manage a service provider's campaigns and funnel/workflows.,,Market Sales Domain,4,Released,3,9,,,,1,3,1
Campaign Management,(2) TAM Application Type,3.9.1," 
The Campaign Management applications are responsible for managing the lifecycle of marketing campaigns, sometimes referred to as ""closed loop marketing"". Service Provider marketers need to respond to changing market environments with marketing initiatives that push highly targeted messages to increasingly focused segments. 
Marketers need an adaptable and flexible campaign management application that can adjust to evolving customer lifecycles with corresponding targeted marketing strategies. Marketers need to deliver coordinated outbound and inbound campaigns across all points of interaction- focusing marketing resources where the greatest potential value exists. The campaign management application needs to:

  •Leverage a single, consistent view   of customer data. 
  •Be highly usable, which increases marketing productivity and effectiveness. 
  •Provide valuable insight into marketing performance through analytics that enable marketers to continually adjust and improve marketing investments.",,Market Sales Domain,4,Released,3,9,1,,,2,3.9,1
Campaign Analytics,(3) TAM Application Type,3.9.1.1,The Campaign Analytics applications are responsible for analyzing existing and prospective customers to help design appropriate product recommendations.,Campaign Analytics,Market Sales Domain,4,Released,3,9,1,1,,3,3.9.1,1
Campaign Design,(3) TAM Application Type,3.9.1.2,"Campaign Design applications provide the necessary tools to formulate a campaign, taking into account the targeted customers and products.","Campaign creation
Campaign execution pre-preparation
Campaign template creation",Market Sales Domain,4,Released,3,9,1,2,,3,3.9.1,1
Lead Generation & Management,(3) TAM Application Type,3.9.1.3,Lead Generation applications provide the tools necessary to generate leads from a variety of sources.,Sales Lead Capture,Market Sales Domain,4,Released,3,9,1,3,,3,3.9.1,1
Campaign Execution & Refinement,(3) TAM Application Type,3.9.1.4,Campaign Execution & Refinement applications provide the necessary tools to execute a previously designed campaign.,"Campaign Execution handling
Campaign execution workflow handling
Campaign to customer event handling
Campaign to Customer profile handling
Campaign Update function",Market Sales Domain,4,Released,3,9,1,4,,3,3.9.1,1
Campaign Performance Tracking,(3) TAM Application Type,3.9.1.5,Campaign Performance Tracking applications provide the required functionality to monitor the performance of campaign as the campaign is being executed.,"Dashboard view function
Marketing Insight campaign reporting.
Real-time campaign performance tracking",Market Sales Domain,4,Released,3,9,1,5,,3,3.9.1,1
Funnel/Workflow Management,(2) TAM Application Type,3.9.2,"Funnel Management applications, also sometimes known as pipeline, or tunnel, provide functionality to manage the funnel process.","Funnel Assignment
Funnel Creation
Funnel Tracking & Management",Market Sales Domain,4,Released,3,9,2,,,2,3.9,1
Solution Management,(1) TAM Application Type,3.10,"Solution Management applications provide the necessary functionality to manage the analyzing, composing, and recommending of the right solution to a given potential customer.",,Market Sales Domain,4,Released,3,10,,,,1,3,1
Solution Design,(2) TAM Application Type,3.10.1,The Solution Management's Design function is concerned with the translation of customer requirements into products & services and the quantity of products and services at each location. Design obtains base product and services from the Common Product Catalog with existing and orders in the pipe and tailor them according the customer requirements into solution(s).,"Automatic Solution Validation
Solution Design Editor
Solution Variations management",Market Sales Domain,4,Released,3,10,1,,,2,3.10,1
Solution Pricing,(2) TAM Application Type,3.10.2,Solution Pricing Applications provide functionality to determine the pricings for solution designs.,"Solution Discounting
Solution Pricing",Market Sales Domain,4,Released,3,10,2,,,2,3.10,1
Proposal Management,(2) TAM Application Type,3.10.3,Proposal Management applications provide functionality to produce appropriate proposals based on the various solution options.,Offer and Proposal Management,Market Sales Domain,4,Released,3,10,3,,,2,3.10,1
Price Optimization,(2) TAM Application Type,3.10.4,Price/Cost Optimization applications provide functionality regarding price and cost optimization of a given solution.,Price/Cost Optimization,Market Sales Domain,4,Released,3,10,4,,,2,3.10,1
Offer Management,(2) TAM Application Type,3.10.5,Offer Management applications provide the means to produce personalized offers to potential or existing customers.,,Market Sales Domain,4,Released,3,10,5,,,2,3.10,1
Sales Negotiation,(2) TAM Application Type,3.10.6,Sales Negotiation applications provide the capability to provide quotations based on products available to the customer and produce an order request upon customer acceptance.,Sales Negotiation,Market Sales Domain,4,Released,3,10,6,,,2,3.10,1
Solution Requirements Capture,(2) TAM Application Type,3.10.7,Solution Requirement Capture application enables the capture of customer solution requirement in the pre-sale phase.,Solution Requirements Capture,Market Sales Domain,4,Released,3,10,7,,,2,3.10,1
Sales Account Management,(1) TAM Application Type,3.11,Sales Account Management applications provide the means to manage sales accounts.,,Market Sales Domain,4,Released,3,11,,,,1,3,1
Customer/Prospect Data Acquisition,(2) TAM Application Type,3.11.1,Customer/Prospect Data Acquisition applications provides functionality to collect all necessary information to support the sale.,Customer/Prospect Data Acquisition,Market Sales Domain,4,Released,3,11,1,,,2,3.11,1
Sales Account Assignment,(2) TAM Application Type,3.11.2,"Sales Account Assignment provides the necessary functionality to assign customers to a service provider’s sellers (either third party or internal). Ownership might further be differentiated based on various products with the same customer. Sales Account Assignment also maintains the sales hierarchy (different than HR reporting hierarchy) for sales compensation, sales forecasting, and sales results.",Sales Account Assignment,Market Sales Domain,4,Released,3,11,2,,,2,3.11,1
Sales Account Planning,(2) TAM Application Type,3.11.3,"Sales Account Planning looks at the service provider’s complete relationship with a large customer. This includes the customer’s outages, revenues, opportunities in the pipeline, etc. It allows the account executive to effectively manage the service provider’s relationship with the customer and to plan the selling strategy going forward.",Sales Account Planning,Market Sales Domain,4,Released,3,11,3,,,2,3.11,1
Sales & Marketing Reporting,(1) TAM Application Type,3.12,"Sales & Marketing Reporting provides insight into multiple aspects of Sales & Marketing, including closed loop marketing, sales metrics, forecasting, sales workflow, funnel and pipeline activities and order handoffs.","Funnel Tracking & Management
Sales & Marketing Reporting
Sales Forecast Analysis
Sales Metrics function
Sales Order Reporting",Market Sales Domain,4,Released,3,12,,,,1,3,1
Product Strategy / Proposition Management,(1) TAM Application Type,4.1,"Product Strategy is an action plan for meeting the objectives of an operating strategy via the products sold to the marketplace. Product Propositions are ideas on how the strategy will be realized through products sold within specific target markets. Product Strategy / Proposition Management is therefore the ability to capture and manage the detail of a company’s strategy and resulting propositions, that then drive what products they will develop, deliver and sell. This capability allows the management of this information at the enterprise level, across the different operating groups and market units within which the enterprise operates. Finally, it provides the ability to link the product propositions to the actual sellable products in order to track how the product strategy is actually be delivered into the marketplace.
The ability to hold this information enables downstream performance reporting to validate or negate a company’s product strategy and underlying propositions.","Product Strategy linking
Product Strategy performance reporting
Product Strategy project management
Propositions organization
Strategy capturing and management",Product Domain,4,Released,4,1,,,,1,4,1
Product Catalog Management,(1) TAM Application Type,4.2,"Product Catalog Management is a realization of the Cross domain Catalog Management application in the Customer Domain. The applications are repositories of product listing within a service provider and include the ability to design, create, augment and map new entities and supporting data. The type of catalog management application is an implementation choice of the enterprise. See: Cross Domain- Catalog Management for more information.",Product creation and maintenance,Product Domain,4,Released,4,2,,,,1,4,1
Product Lifecycle Management,(1) TAM Application Type,4.3,"Product Lifecycle Management (PLM) is responsible for the managing the entire lifecycle of the product and its underlying components. This includes all of the processes required to design, build, deploy, maintain and ultimately retire the product. Product Lifecycle Management includes those activities and tools used to define new products and updates to existing products. Generally these activities require a significant degree of collaboration, often across multiple geographic locations. This could even include the gathering of customer needs/preferences and mapping those to current and future product capabilities. There will also be a significant use of project and program management activities and tools to satisfy these functional areas.","Marketing & Offer Strategies Implementation
New Product Introduction and Maintenance
Product Modeling Function
Product Requirement and Specification Function
Product Retirement",Product Domain,4,Released,4,3,,,,1,4,1
Product Performance Management,(1) TAM Application Type,4.4,"Product Performance Management includes the activities and tools that gather and analyze data regarding the efficacy of the product strategy, propositions and products based upon their performance in the marketplace.","Product Campaign Tracking
Product capacity analysis
Product Cost Management
Product cost reporting
Product revenue reporting",Product Domain,4,Released,4,4,,,,1,4,1
Customer Information Management,(1) TAM Application Type,5.1,"Customer Information Management ensures the delivery of a consistent, accurate and complete customer view to operational and analytical touch-points across the service provider enterprise, thus enabling the optimization of key business processes and the leverage of new revenue opportunities. Customer information is typically scattered across mixed environment with fragmented, isolated customer data which needs to be consolidated, directly or using data federation. A Customer Information Management application, using context sensitive business logic, synchronizes customer information across all of service provider systems and reconciles customer data inconsistencies. Customer Information Management traditionally lies within the boundaries of Master Data Management (MDM), however, it is not mandatory.",,Customer Domain,4,Released,5,1,,,,1,5,1
Customer Hierarchy & Group Management,(2) TAM Application Type,5.1.1,Customer Hierarchy & Group Management provides the necessary functionality to manage the customer hierarchy for both business and residential type customers.,"Customer Relationship, Hierarchy and Group Management",Customer Domain,4,Released,5,1,1,,,2,5.1,1
Customer Profile Management,(2) TAM Application Type,5.1.2,Customer Profile Management applications provide the necessary functionality to manage customer preferences and customer details.,"Customer Details Management
Customer Preferences Management
Customer Profile Inquiries",Customer Domain,4,Released,5,1,2,,,2,5.1,1
Customer Credit Management,(2) TAM Application Type,5.1.3,Customer Credit Management applications provide the necessary functionality to manage information about the customer’s credit as well as a means to provide a credit check.,"Customer Credit Management
Customer Credit Risk Management",Customer Domain,4,Released,5,1,3,,,2,5.1,1
Customer Interaction Collection & Storage,(2) TAM Application Type,5.1.4,Customer Interaction Collection & Storage provides the necessary functionality to record all interactions with the customer from all channels.,Communication collection & storage,Customer Domain,4,Released,5,1,4,,,2,5.1,1
Customer Subscription Management,(2) TAM Application Type,5.1.5,Customer Subscription Management provides the functionality necessary to store and make available the products and services presently being used by the customer.,Customer Subscription repository,Customer Domain,4,Released,5,1,5,,,2,5.1,1
Transactional Document Production,(1) TAM Application Type,5.2,"Transactional Document Production applications can be used in the telecommunications activities that require bills, invoices, letters and statements to be created for subscribers. It can be deployed by any organization that provides these services. 
Transactional Document Production applications can process numeric, text and image content into print-ready and web-ready streams that can be reproduced using a predefined template on a variety of media. For instance, telecommunications companies can process data from a billing system into standard industry print streams to produce paper bills.",,Customer Domain,4,Released,5,2,,,,1,5,1
Transactional Document Formatter,(2) TAM Application Type,5.2.1,"Transactional Document Formatter is used to develop a transactional document such as a bill or letter by specifying the format template, the data input source specification, and the associated runtime rules that ties the data input to the format template.","Bills and Letter Template Formatting
transactional Document Input Binding Rules to Template
Transactional Document Input Data Source Definition
Transactional Document Template Resource Definition
Transactional Document Template Usage Business Rules",Customer Domain,4,Released,5,2,1,,,2,5.2,1
Transactional Document Generator,(2) TAM Application Type,5.2.2,Transactional Document Generator processes extract files provided by other modules (typically Billing) to produce an intermediate data format.,"Transactional Document Information Formatting
Transactional Document Legend Formatting
Transactional Document Marketing Information Incorporation
Transactional Document Multiple account statement generation
Transactional Document Regional Requirements appliance
Transactional document Send function",Customer Domain,4,Released,5,2,2,,,2,5.2,1
Document Delivery,(2) TAM Application Type,5.2.3,"Document Delivery is the final runtime executable that creates the desired print, web, PDF, XML or ASCII print files from the document production engine.",Transactional Document Delivery,Customer Domain,4,Released,5,2,3,,,2,5.2,1
Document Archiving,(2) TAM Application Type,5.2.4,"Document Archiving is used to store compressed transactional document for future retrieval e.g. by customer care, self care or reprint.","Archive maintenance and administrative functions
Archived Data Retrieval mechanisms
Archiving, compression and storage of transactional document data",Customer Domain,4,Released,5,2,4,,,2,5.2,1
Customer Order Management,(1) TAM Application Type,5.3,"Customer Order Management applications manage the end to end lifecycle of a customer request for products. This includes order establishment (step guiding, data collection and validation), order publication as well as order orchestration and overall lifecycle management. A customer request may also pertain to already purchased product(s). Thus the Customer Order Management application handles order requests to suspend, resume, change ownership, amend, add, change and discontinue existing ordered products. Customer Order Management application should support repackaging of the purchased offers into alternate product offering (may require sales/contract negotiation). Customer Order Management applications typically serve all the customer touch points / channels, including call center, retail, self-service, dealers, affiliates, etc. The order may be initiated by any channel and visible to the other channels if needed.",,Customer Domain,4,Released,5,3,,,,1,5,1
Customer Order Establishment,(2) TAM Application Type,5.3.1,Customer Order Establishment applications provide the necessary functionality to establish a valid customer order.,"Channel guidance and data capture
Customer Order Completion
Customer Order Eligibility
Customer Order Validation
Offer and Product Configuration",Customer Domain,4,Released,5,3,1,,,2,5.3,1
Channel Guidance and Data Capture,(3) TAM Application Type,5.3.1.1,"Channel Guidance and Data Capture leads the specific channel front ending application with the captured information required. For each information element it can provide a list of valid options to select from (e.g. list of products available for the customer, list of options to select from a product). Finally it receives the captured information and publishes it.","Channel Captured Order reception
Channel Customer registration
Channel Customer search
Channel Guided Data Collection
Product catalog browsing",Customer Domain,4,Released,5,3,1,1,,3,5.3.1,1
Customer and Product Data Collection,(3) TAM Application Type,5.3.1.2,Customer and Product Data Collection applications provide the means to gather additional customer and product data needed as part of Customer Order Establishment,"Customer and Product data Collection
Handle inter product dependency",Customer Domain,4,Released,5,3,1,2,,3,5.3.1,1
Customer Order Capture,(4) TAM Application Type,5.3.1.2.1,"The Customer Order Capture function registers the orders independently of the sales channel used (internal distribution such as Telco Points of Sales, Outsourcer, external distribution such as Dealer, Reseller…, Telco Call Centres, Customer Self-Service, or the medium used (face-to-face, phone, Web/Wap, email, mail/ fax…). It can concern a new commercial offer order (for a new or an existing customer), the update of installed offer, products or the termination of some installed offers or products…",Customer and Product data Collection,Customer Domain,4,Released,5,3,1,2,1,4,5.3.1.2,1
Offer Configuration,(4) TAM Application Type,5.3.1.2.2,"The Offer configuration function enables the configuration of the commercial offer chosen by the customer. The configuration verifies the technical / functional / commercial pre-requisites, compatibility constraints of this offer against the customer Installed Products. This function invokes a network function in order to check the technical feasibility and resource availability.","Enable and verify Offer to Customer
Handle inter product dependency",Customer Domain,4,Released,5,3,1,2,2,4,5.3.1.2,1
Offering Availability,(3) TAM Application Type,5.3.1.5,Offering Availability apply business rules to determine what offerings are available at the customer location.,"Customer Product & Service Subscription Check
Marketed Product Check
Product Availibility Area Check
Service Feasibility Check",Customer Domain,4,Released,5,3,1,5,,3,5.3.1,1
Customer Order Validation,(3) TAM Application Type,5.3.1.6,"Customer Order Validation is, like enrichment, widespread ordering functionality, that checks the validity of the order.",Customer Order Validation,Customer Domain,3,Released,5,3,1,6,,3,5.3.1,1
Customer Order Orchestration,(2) TAM Application Type,5.3.3,Customer Order Orchestration applications provide workflow and orchestration for the Customer Order Management area.,"Customer Order Orchestration
Retro-active order orchestration",Customer Domain,4,Released,5,3,3,,,2,5.3,1
Customer Order Tracking & Management,(2) TAM Application Type,5.3.5,Customer Order Tracking & Management provides the functionality necessary to track and manage the distributed requests decomposed by Customer Order Distribution.,Customer Order Tracking & Management,Customer Domain,4,Released,5,3,5,,,2,5.3,1
Customer Order Lifecycle Management,(2) TAM Application Type,5.3.6,Customer Order Lifecycle Management provides the functionality necessary to track and manage a Customer Order from establishment to cancellation.,"Centralized Ordering Rules management
Customer order cancelation
Customer order change management
Govern Ordering Activity
Maintain customer order versioning
Maintain pending customer orders",Customer Domain,4,Released,5,3,6,,,2,5.3,1
Customer Order Enrichment,(2) TAM Application Type,5.3.7,Customer Order Enrichment application enables acquiring the missing parts of the order information.,"Customer Order data calculation from existing data
Customer Order data enrichment from external systems
Customer Order data enrichment from internal systems",Customer Domain,3,Released,5,3,7,,,2,5.3,1
Customer Order Acceptance,(2) TAM Application Type,5.3.9,The Customer Order Acceptance application issues valid and complete customer orders.,"Customer Order search and presentation
Customer Order Storage",Customer Domain,3,Released,5,3,9,,,2,5.3,1
Customer Order Rules Management,(2) TAM Application Type,5.3.10,"Customer Order Rules Management application is responsible for the management of rules used in order validations, enrichment or any dynamic, decision-based action.","Customer Order Rules configuration
Customer Order Rules search and presentation",Customer Domain,3,Released,5,3,10,,,2,5.3,1
Customer Order Workflow Management,(2) TAM Application Type,5.3.11,Customer Order Workflow Management encompasses the order item and work item decomposition as well as Customer Order Orchestration Plan Creation.,,Customer Domain,3,Released,5,3,11,,,2,5.3,1
Customer Order Item Decomposition,(3) TAM Application Type,5.3.11.1,Customer Order Item Decomposition prepares the customer order structure for breakdown into customer order items.,Customer Order Item Decomposition,Customer Domain,3,Released,5,3,11,1,,3,5.3.11,1
Customer Order Work Item Decomposition,(3) TAM Application Type,5.3.11.2,Customer Order Work Item Decomposition decomposes customer order items into a set of customer order work items.,Customer Order Work Item Decomposition,Customer Domain,3,Released,5,3,11,2,,3,5.3.11,1
Customer Order Orchestration Plan Creation,(3) TAM Application Type,5.3.11.3,Customer Order Orchestration Plan Creation makes an orchestration plan out of the set of customer order work items.,Customer Order Orchestration Plan Creation.,Customer Domain,3,Released,5,3,11,3,,3,5.3.11,1
Customer Self Management,(1) TAM Application Type,5.4,"Customer self empowered applications provide an internet technology driven interface to the customer to undertake a variety of business functions directly for themselves. These applications interact to provide fully automated service or assisted service over various customers touch points. Although customer self management applications primarily trigger functionality defined in the rest of the CRM, Service Management and Resource Management applications, they should also contain functionality specific to customer self empowerment. As service providers shift to multidimensional services, new business realities require self service systems to support the following criteria:
• One-and-done fulfillment across service portfolio (cf. Order Management Applications) 
• Multi-disciplinary customer service (cf. Customer Service / Account Problem resolution applications) 
• Sync multi-channel interoperability 
• Total convergent self directed billing (view/pay/dispute all) (cf. Front Office Customer Billing Management applications) 
• Reconciliation interoperability 
• Personalization and usability 
• Visualization of SLAs across subscribed services (cf. Customer Service / Account Problem resolution applications) 
• Portfolio driven guided selling (cf. Product Catalogue, Product Lifecycle Management applications) 
• Leveraging the 360 degree customer view (cf. Customer Information Management Application) 

Customer self management applications enable service providers to increase profitability across the organization by optimizing the customer experience and maximizing the efficiency of business operations through:
• Rapid order-to-activation mechanism across service portfolio
• Commodity like enablement for telecom services (rapid introduction& easy amendment& cross bundling) 
• Universal platform supporting multiple users (consumers& business& dealers) and multiple LOBs (wire line& wireless& IPTV) though single point of contact 
• Reducing costs through operating efficiencies 

These operations expect to gain more customer loyalty, service stickiness and ARPU for the service provider. A primary factor for increasing ARPU through self empowered systems is high usability. High usability requires channel agnostic consistency and seamless customer experience leveraging functionality that is driven from sporadic backend systems. For that, self empowered systems should provide integration readiness through several vehicles:

•  Pre-integrated self service system including stand-alone web framework or integration front end with a portal engine 
•  Self services layer exposing atomic Webservices/APIs for reuse by multiple systems across the architectural environment 
•  Portlets driven connectivity exposing data and services interoperability through a portal engine or web application. 

Typically the portal to the customer is via a web-based interface. Customer self care is increasingly popular with both customers and operators as it usually provides access to information 24 hours a day, 7 days a week and does not have the frustration of waiting for a free call agent. Customer self-care systems can take a number of forms from a controlled ‘secure window’ application into the underlying OSS systems used internally by the operator for the customer to view and pay his invoices to a complete portal where the customer can manage his entire relationship with the operator. Customer Self Management applications need to provide a level of security to protect both the customer’s data and the integrity of the underlying systems. They should also be capable of providing single sign on capabilities to access Business and Operational Support Systems.",,Customer Domain,4,Released,5,4,,,,1,5,1
