ID,NAME,DESCRIPTION,DOMAIN,LEVEL,PARENT
MarketingCampaignCharacteristic,MarketingCampaignCharacteristic,"MarketingCampaignの特徴的な品質または独特の特徴。特性は、プレスリリースの数などの離散値を取ることができ、値の範囲を取ることができます（たとえば、50,000~100,000に達した見込み客数）、または式から導出することもできます（たとえば、仲介家のピックアップ=すべての仲介家のインスタンス特性の合計）",Market Sales Domain,1,Marketing Campaign ABE
MarketingCampaignCharacteristicValue,MarketingCampaignCharacteristicValue,MarketingCampaignCacteristicに割り当てることができる数またはテキスト。,Market Sales Domain,1,Marketing Campaign ABE
SalesChannel,SalesChannel,Service Providerが利用可能になり、製品専門枠を市場に販売する手段。セールスチャネルには、DirectSalesforce、Salesagents、Telemarkettes、およびAlternateChannelが含まれます。,Market Sales Domain,1,Sales Channel ABE
SalesCommission,SalesCommission,SalesCommissionは、レンダリングされたサービスや販売代理店によって販売されている製品の報酬（固定値、パーセンテージまたは式）の形式を表します。,Market Sales Domain,1,Sales Commission ABE
SalesCommissionRule,SalesCommissionRule,SalesCommissionRuleは政策の一種です。 SalesCommissionRuleは、SalescommissionSpecificationの一部として提供される式が本質的に簡単であるため、複雑なルールを追加するために使用されます。 SalesComissionRuleは次のことを指定します。•ルールの評価をトリガーする（販売イベント）•EX：事前定義された販売額または従業員/代理店の要求に達するかどうか•チェックされる必要がある条件•EX ：請求書の金額が100 $を超える場合は、2時間以上の国際電話などが必要な場合は、条件句が真に評価された場合に実行されるべきアクション•EX：売上高の割合に基づいて営業委員会を計算します。,Market Sales Domain,1,Sales Commission ABE
SalesCommissionSpecification,SalesCommissionSpecification,SalescommisionSpecificationは、ビジネスユーザーによって認識されている営業委員会の仕様を表し、委員会が機能レベルで計算されている方法（すなわち、ルールはどの条件が適用可能であるか）を指定します。委員会は固定値、パーセンテージ、さらにはより複雑な式である可能性があります。,Market Sales Domain,1,Sales Commission ABE
SalesCommissionSpecificationType,SalesCommissionSpecificationType,•SalesCommissionSpecificationTypeはEntitySpecificationTypeの型であり、共通の特性を共有するSalesCommissionSpecificationをグループ化する分類を表します。例えば。 SalescommisionSpimisionPenications「Sales」は、「受話器」、「付属品」など、さまざまな販売カテゴリで構成されています。,Market Sales Domain,1,Sales Commission ABE
AppliedCustomerBillingAllowance,AppliedCustomerBillingAllowance,適用された金額、通常は、製品の料金から割引、またはそれらと引き換えに控除されました。適用された量は、使用法に適用される数分などの数の自由単位でもあり得る。,Customer Domain,1,Applied Customer Billing Rate ABE
AppliedCustomerBillingCharge,AppliedCustomerBillingCharge,人または組織が経済的に責任を負う金額、通常は金額。,Customer Domain,1,Applied Customer Billing Rate ABE
AppliedCustomerBillingCredit,AppliedCustomerBillingCredit,コース内の顧客のアカウントに割り当てられたクレジットまたは請求プロセスの目的のために割り当てられたクレジット,Customer Domain,1,Applied Customer Billing Rate ABE
AppliedCustomerBillingDiscount,AppliedCustomerBillingDiscount,AppliedCustomerBillingDiscount関連電荷を軽減するために適用される製品の価格の低減。,Customer Domain,1,Applied Customer Billing Rate ABE
AppliedCustomerBillingProductAlteration,AppliedCustomerBillingProductAlteration,関連する料金を短縮するために適用されるクレジット。,Customer Domain,1,Applied Customer Billing Rate ABE
AppliedCustomerBillingProductCharge,AppliedCustomerBillingProductCharge,製品が購入されたときに人または組織が経済的に責任を負う金額、通常はお金の量で、何らかの方法で使用されます。,Customer Domain,1,Applied Customer Billing Rate ABE
AppliedCustomerBillingProductOneTimeCharge,AppliedCustomerBillingProductOneTimeCharge,AppliptionCustomerBillingProductOnetimeChargeは、通常、製品に関するワンタイムイベントのために、個人または組織が経済的に責任を負う金額を表します。たとえば、ホームゲートウェイの20ドルのインストール手数料、iPhoneの購入料金、$ 10の配送料はルーターの配送料。,Customer Domain,1,Applied Customer Billing Rate ABE
AppliedCustomerBillingProductRecurringCharge,AppliedCustomerBillingProductRecurringCharge,AppliptionCustomerBillingProductRecurringChergeは、通常、個人または組織が製品を使用する権利の繰り返し期間（月額）を超えて経済的に責任を負う金額を表します。たとえば、基本テレビチャネルアクセスのための$ 15 /月、ホームゲートウェイを借りるための$ 10 /月、iPhoneのための延長保証のための$ 3 /月。,Customer Domain,1,Applied Customer Billing Rate ABE
AppliedCustomerBillingProductUsageRate,AppliedCustomerBillingProductUsageRate,AppliedCustomerBillingProductUsageChargeは、レートエンジンによって通常生産された製品使用イベントの電荷を表します。,Customer Domain,1,Applied Customer Billing Rate ABE
AppliedCustomerBillingRate,AppliedCustomerBillingRate,課金または課金プロセスの目的のために、顧客のアカウントに割り当てられている料金またはクレジット。サブクラスはさらにこれらの要素を定義します。 ACBRのタイプ（説明や収益コードなど）に関する情報は、AppliedCustomerBillingRatesPecとの関連付けを介して行うことができます。,Customer Domain,1,Applied Customer Billing Rate ABE
AppliedCustomerBillingRebate,AppliedCustomerBillingRebate,たとえば、顧客が払い戻しを受ける権利があるため、通常お金のアカウントに返済される金額。,Customer Domain,1,Applied Customer Billing Rate ABE
AppliedCustomerBillingTaxRate,AppliedCustomerBillingTaxRate,立法体による製品の価格に課された金額。,Customer Domain,1,Applied Customer Billing Rate ABE
AppliedCustomerFeeCharge,AppliedCustomerFeeCharge,AppliedCustomerPenalyCugeは、ApplositCustomerBillingChargeの一種です。契約契約条件に応じて顧客を請求するために、遅延料金、支払拒否料金、利益などのペナルティ料金を表しています。,Customer Domain,1,Applied Customer Billing Rate ABE
AtomicAppliedCustomerBillingRate,AtomicAppliedCustomerBillingRate,単一の料金またはクレジット。,Customer Domain,1,Applied Customer Billing Rate ABE
CompositeAppliedCustomerBillingRate,CompositeAppliedCustomerBillingRate,他のAppliSuastombillingratesを凝集させることによって形成された1つまたは複数の他のApplootcusTombillingrateの合計が、複合または原子appatutsCustombillingratesのいずれでもよい。,Customer Domain,1,Applied Customer Billing Rate ABE
FinancialCharge,FinancialCharge,FAINCODCHARGEはAtomicAppliedCustomerBillingRateの正規化集約を表しているため、すべてのAtomicAppliedCustomerBillingRateが正確に1つの金融議会に表示されます。これは財務報告にとって重要です。,Customer Domain,1,Applied Customer Billing Rate ABE
FinancialChargeSpec,FinancialChargeSpec,FinanceChergespecは、当てはめての金融議会の特定の種類の仕様を定義しています。 FAINCORUSAGERUPECは、金化チャージの仕様を説明し、それらを共有情報と秘密使用状況情報に関連付けるのに役立ちます。,Customer Domain,1,Applied Customer Billing Rate ABE
ProductFinancialAccountRelationship,ProductFinancialAccountRelationship,ProductFinancialAccountRelationshipエンティティは、関連する充電情報が維持されている1つまたは複数のBillingAccountに製品の料金を関連付けます。 ProductFinancialAccountRelationshipは、（ChargeSplittingRuleからChargeAmountThreshold、ChargeAmountThresholdから）ルール情報を使用し、AtomicAppliedCustomerBillingRateが保有するために充電関係を決定し、1つの製品使用量からの充電関係を決定する必要があります。,Customer Domain,1,Applied Customer Billing Rate ABE
AppliedCustomerBillingRateSpec,AppliedCustomerBillingRateSpec,AppsoantCustomerBillingRateエンティティの詳細な説明。このビジネスエンティティは、AppliedCustomerBillingRateのすべての特性（バリアント属性）の定義、および説明（Reetentityから派生）やRevenueTypeなどの属性を入力します。,Customer Domain,1,Applied Customer Billing Rate Spec ABE
CustomerBill,CustomerBill,請求期間中のすべての製品のBillingAccountからの合計金額。,Customer Domain,1,Customer Bill ABE
ChargeAccumulatedForUsageCharacteristicSum,ChargeAccumulatedForUsageCharacteristicSum,顧客のための合計usageCharacteristististististiscalis,Customer Domain,1,Customer Billing Statistic ABE
CustomerBillingAccountChargeSum,CustomerBillingAccountChargeSum,BillingAccountに適用されるすべての料金の合計。,Customer Domain,1,Customer Billing Statistic ABE
CustomerBillingAccountChargeSumBalance,CustomerBillingAccountChargeSumBalance,BillingAccountに適用されるすべての料金の集計のバランス。,Customer Domain,1,Customer Billing Statistic ABE
CustomerBillingAccountChargeSumSpec,CustomerBillingAccountChargeSumSpec,BillingAccountに適用されるすべての料金の集約の詳細な説明。,Customer Domain,1,Customer Billing Statistic ABE
CustomerBillingProductChargeSum,CustomerBillingProductChargeSum,製品に適用されたすべてのBillingAccount料金の合計。,Customer Domain,1,Customer Billing Statistic ABE
CustomerBillingProductChargeSumBalance,CustomerBillingProductChargeSumBalance,製品に適用されたすべてのBillingAccount料金の集約。,Customer Domain,1,Customer Billing Statistic ABE
CustomerBillingProductChargeSumSpec,CustomerBillingProductChargeSumSpec,製品に適用されるすべてのBillingAccount料金の集約の詳細な説明。,Customer Domain,1,Customer Billing Statistic ABE
CustomerBillingStatistic,CustomerBillingStatistic,カスタマービルから派生した収集データ。 CustomerBillingStatisticsPecificationによって定義されます。,Customer Domain,1,Customer Billing Statistic ABE
CustomerBillingStatisticBalance,CustomerBillingStatisticBalance,収集された統計データのバランス。,Customer Domain,1,Customer Billing Statistic ABE
CustomerBillingStatisticSpec,CustomerBillingStatisticSpec,カスタマービルから派生した統計データのコレクションの詳細な説明（たとえば、ある期間にわたる請求勘定の料金合計）。統計データは通常、評価および課金プロセス中に収集されます。指定は、Rules Engineまたはポリシーを使用して収集ルールを決定するためのポリシーを使用して実装されてもよい。,Customer Domain,1,Customer Billing Statistic ABE
Customer Billing Statistic ABE UsageCharacteristicSumBalance,UsageCharacteristicSumBalance,UsageCharacteristic '価値の凝集のバランス,Customer Domain,1,Customer Billing Statistic ABE
Customer Billing Statistic ABE UsageCharacteristicSumSpec,UsageCharacteristicSumSpec,UsageCharacterististististististististististicValuesの集合の詳細な説明。,Customer Domain,1,Customer Billing Statistic ABE
CustomerPayment,CustomerPayment,CustomerPaymentは一種のパーティパーピンメントであり、製品の製品や製品の使用量のための顧客からの富の譲渡を表します。,Customer Domain,1,Customer Payment ABE
CustomerPaymentItem,CustomerPaymentItem,CustomerPaymentItemはカスタマーペイメントのアプリケーションです。 CustomerPaymentItemはカスタマービルまたはAppliSualCastombillingRateに適用されます。,Customer Domain,1,Customer Payment ABE
Customer Domain Dunning ABE DunningCase,DunningCase,Dunningcaseは、顧客に開かれたケースの種類を表します。顧客が督促プロセスを開始するたびに、督促状況は彼の請求口座債務にリンクされており、それは督促状況規則、相互作用のような債務に関するすべての詳細を含みます...督促状況の状況は内部または外部の事象に従って進化する（顧客によって行われた支払い、支払いスケジュールが付与されました...）。,Customer Domain,1,Customer Domain Dunning ABE
Customer Domain Dunning ABE DunningCaseRule,DunningCaseRule,Dunningcaseuleは、債務を回復するために会社（またはそのために）行われた行動を表しています。,Customer Domain,1,Customer Domain Dunning ABE
Customer Domain Dunning ABE DunningNotification,DunningNotification,DunningNotificationは、電気通信事業者から顧客への通信または共同活動であり、顧客への顧客を求めるか、または支払いプランを交渉することです。 DunningcaseRuleから生じる関係は、電気通信事業者からの場合、顧客から顧客までのみ（例：SMSを送る）•または両方の方法で（EX：PaymentPlanを交渉するために顧客に電話してください）。,Customer Domain,1,Customer Domain Dunning ABE
Customer Domain Dunning ABE DunningRule,DunningRule,ダニニングレルアは政治的な一種です。督促規則の評価をトリガーするイベント、評価の条件、および実行されなければならないアクション（EX：SMS、手紙、アウトバウンド、バーリング/アンバリアの行動、遅延、罰金）,Customer Domain,1,Customer Domain Dunning ABE
Customer Domain Dunning ABE DunningScenario,DunningScenario,督促シナリオでは、会社の督促戦略について説明しています。ケースに適用する督促規則を説明するには簡単に構成できます。これを適用する順序、督促規則の評価をトリガーするイベント... DUNNINGSCENARIOがBillingAcountに割り当てられている場合は、Dunningcaseは借金の場合はこのDunningScenarioをフォローしてください。そうでなければ、デフォルトのDunningScenarioに従います。保有者の品質に応じて、DunningScenarioはBillingAccountに割り当てられています。,Customer Domain,1,Customer Domain Dunning ABE
Customer Domain Dunning ABE DunningWriteOff,DunningWriteOff,BillingAccountは2つの主な理由で書かれている可能性があります。•督促手続きが債務の回復に失敗したとき、悪い借金は償却され、一般的な元帳に報告されなければなりません。•契約が「最小の」クレジットまたは借金で終了する場合残高（収集プロセスのコストを反映したしきい値よりも小さい）。 DunningWriteOffは、督促状況で、閉じることができる前にBillingAccountを決定的にバランスさせるためにクレジットに対応しています。,Customer Domain,1,Customer Domain Dunning ABE
Customer Domain Dunning ABE HardDunning,HardDunning,ハードディングはダンニングケースの一種です。ハードディュニニングとは、会社による契約終了後に顧客の債務を回復するために行われたすべての行動を意味します。,Customer Domain,1,Customer Domain Dunning ABE
Customer Domain Dunning ABE SoftDunning,SoftDunning,SoftDunningはダンニングケースの一種です。契約終了までの期日から顧客の債務を回復するために実行されたすべての行動を表します。,Customer Domain,1,Customer Domain Dunning ABE
CustomerBillingInquiry,CustomerBillingInquiry,顧客が負っているお金の声明に関する情報の要求。,Customer Domain,1,Customer Bill Inquiry ABE
BalanceUsageRule,BalanceUsageRule,バランスレベルルール情報BillingAccountBalanceのアプリケーションを制限します。それは共有規則を説明することができ、それは異なる顧客の製品料金に関連するさまざまな種類の金融給算器の間で請求される可能性があるものである。それは関連するBillingAccountbalanceを強調することができます。 BalancusAgeruleには優先順位が含まれ、他の種類の規則はBillingAccountBalanceのアプリケーションを制限します。,Customer Domain,1,Customer Billing Account ABE
ChargeAmountThreshold,ChargeAmountThreshold,ChargeAmountThresholdは、製品料金を超えて限られた量を超えて関連するBillingAccountによって手頃な価格を指定することによって、製品料金とBillingAccountの間の関係を制限します。,Customer Domain,1,Customer Billing Account ABE
ChargeSplittingRule,ChargeSplittingRule,ChargeSplittingRuleは、どの商品料金がどのビル - カウントに向けられるべきかを記述する充電レベル/アカウントレベルのルール情報です。時間やパーセンテージに基づくことができます。,Customer Domain,1,Customer Billing Account ABE
CustomerBillingAccount,CustomerBillingAccount,CustomerBillingAccountは、顧客が企業が企業（通信サービスプロバイダなど）を持っていることで、企業がBILLSを構成するためにAppliedPartyBillingRate（すなわち料金）を収集する。また、企業が顧客に提供される製品の支払いも収集します。 AppliedPartyBillingratesはカスタマービルを介してBillingAccountに請求されています。,Customer Domain,1,Customer Billing Account ABE
CustomerBillingAccountAssignment,CustomerBillingAccountAssignment,BillingAccountAssignmentは、各アカウンティングイベントに対してFinancialAccountへの割り当てを行う方法についてのBillingAccountの規則を指定します。,Customer Domain,1,Customer Billing Account ABE
CustomerBillingAccountBalance,CustomerBillingAccountBalance,BillingAccountBalanceは、特定の顧客が所有する特定のアカウントで残っているか、残っている金額を表して追跡します。,Customer Domain,1,Customer Billing Account ABE
CustomerAllowance,CustomerAllowance,お金（通常）は、製品の販売価格から、サービスプロバイダの販売価格から割引、または何かと引き換えになりました。手当の例は、AllowenceProdPricaltationによって新しい顧客に付与された国内電話の500台の自由分です。顧客がサービスを使用している間、利用可能な手当は徐々に減少します。 AvaliaBleCustomerAllowAnceは、まだ使用されていない手当で利用可能なものを表します。,Customer Domain,1,Customer Billing Credit ABE
CustomerAllowanceBalance,CustomerAllowanceBalance,利用可能な顧客手当の残高、それは通常、製品の販売価格からの販売価格から、サービスプロバイダの割引、またはそれらと引き換えに控除された金額です。,Customer Domain,1,Customer Billing Credit ABE
CustomerBillingCredit,CustomerBillingCredit,カスタマービルで製品に充電された金額に対して適用できる控除の量。請求クレジットは通常、ProductPriceluleとProductPricaltationによって管理されています。,Customer Domain,1,Customer Billing Credit ABE
CustomerBillingCreditBalance,CustomerBillingCreditBalance,BillingAccountの残りのまたは未払いのクレジット。,Customer Domain,1,Customer Billing Credit ABE
CustomerDiscount,CustomerDiscount,,Customer Domain,1,Customer Billing Credit ABE
CustomerDiscountBalance,CustomerDiscountBalance,残りのまたは未解決の顧客割引。,Customer Domain,1,Customer Billing Credit ABE
CustomerDisputedAmount,CustomerDisputedAmount,CustomerDisputedAmountは、企業とその顧客の1つの間の紛争の金額を表す議論の一種です。,Customer Domain,1,Customer Interaction ABE
CustomerInquiry,CustomerInquiry,顧客からの情報の要求。,Customer Domain,1,Customer Interaction ABE
CustomerInvoiceInquiry,CustomerInvoiceInquiry,提供された商品またはサービスの書面による記録およびそれらに請求された金額についての情報の要求は、支払いの要求として顧客に送られます。,Customer Domain,1,Customer Interaction ABE
CustomerQuote,CustomerQuote,役割を果たしているパーティーへの製品提供の価格見積もり（引用）または製品の提供の販売（オファー）。,Customer Domain,1,Customer Interaction ABE
Buyer,Buyer,正式な合意（コミットメント）によって成果を提供するために供給者を課したパーティーによって演奏されたパーティーロール。,Customer Domain,1,Customer Party Roles ABE
Customer,Customer,企業から製品を購入するか、または無料のオファーや製品を受け取る人または組織。これは顧客の役割を果たすパーティーとしてモデル化されています。顧客はパーティーロールの一種です。顧客は、企業の製品を再販する他のサービスプロバイダ、他のサービスプロバイダの製品やサービスによる企業のリソースをリースする他のサービスプロバイダなどでもあります。,Customer Domain,1,Customer Party Roles ABE
CustomerServiceRepresentative,CustomerServiceRepresentative,CustomerServiceRepresentative（CSR）は、オペレータまたはディーラーからの従業員です。 CSRは顧客の関係を担当しており、販売のためおよび顧客を支援するために顧客に代わって行動することができます。,Customer Domain,1,Customer Party Roles ABE
CloseCustomerProblemSummary,CloseCustomerProblemSummary,顧客問題の閉鎖活動を記録します。顧客問題が再開される可能性があるため、顧客問題ごとに複数のクライストコストマスプロメムムアリーがある場合、または一時的な解決策が恒久的なものに置き換えることができます。,Customer Domain,1,Customer Problem ABE
CustomerProblem,CustomerProblem,顧客の経験に影響を与える問題を表します。顧客問題は、顧客（苦情）またはCSPによって提起することができます（通常はいくつかの分析システムを通じて）,Customer Domain,1,Customer Problem ABE
CustomerProblemTask,CustomerProblemTask,指定された期日に顧客問題から委任された追跡可能なタスク,Customer Domain,1,Customer Problem ABE
CustomerProblemWorkaround,CustomerProblemWorkaround,既知の方法の説明の解像度（時には一時的な）。,Customer Domain,1,Customer Problem ABE
Customer Problem ABE KnownProblemDescription,KnownProblemDescription,既知の問題の説明、任意選択でいくつかの既知の回避策を有する。それは複数の顧客問題によって共有されるかもしれません。,Customer Domain,1,Customer Problem ABE
CustomerProductOrder,CustomerProductOrder,顧客がサービスプロバイダと注文を配置することがあります。これはカスタマプロダク度オーダーによって表されます。 CustomerProductorder / CustomerProductorderItemは、ProductOrder / ProductOrderItemからのサブクラスです。 PartyOrder / PartyOrderItemに関する詳細については、IngageParty Guide Bookを参照してください。 PartyOrderは、すべてのPartyOrderItemsを通じてProductOfferingのコンテキストで1つまたは複数の製品を調達または更新するために使用される通信を表す企業の一種です。カスタマープロダクションオーダーの詳細は、不良債務の場合に予防措置を適用する場合は、顧客製品製品がサービスプロバイダーによって配置される場合でも、製品を調達または更新することです。,Customer Domain,1,Customer Product Order ABE
CustomerProductOrderItem,CustomerProductOrderItem,各CustomerProductorderItemには、製品専用またはProductOfferingのアクション（AllowedProductistication）が必要です。,Customer Domain,1,Customer Product Order ABE
CustomerServiceLevelAgreement,CustomerServiceLevelAgreement,サービスレベル契約（SLA）は、製品、サービス、優先順位、責任などに関する共通の理解を作成するように設計された2人の締約国間の正式な交渉契約を表す一種の契約です。 SLAは、指定されたサービス品質を達成し維持するために、当事者間で正式または非公式に合意された適切な手順とターゲットのセットです。,Customer Domain,1,Customer Service Level Agreement ABE
ChurnRetentionStatistic,ChurnRetentionStatistic,顧客の煩わしさ（顧客の売上高）または顧客保持（顧客を維持する）。,Customer Domain,1,Customer Statistic ABE
LoyaltyAccount,LoyaltyAccount,ロイヤリティカードは、異なる有効期間と単位に従って忠誠心運動を運ぶための一連のバランスに対応します。対応するロイヤルティプログラムProdSpecによって運ばれる規則に従って、ロイヤルティプログラム製品を実現するために必要とされることがある。これは、LoyaltyProgramProdSpecエンティティのneedsloyaltyaccount属性によって定義されます。ロイヤルティパウンタは、1つ以上のロイヤルティプログロム製品からの結果を収集することがあります。,Product Domain,1,Loyalty Program ABE
LoyaltyBalance,LoyaltyBalance,ロイヤルティバランスは、ロイレイヤングによってクレジットされ、ロイヤルティバーンによって借方されます。,Product Domain,1,Loyalty Program ABE
LoyaltyBurn,LoyaltyBurn,ロイヤルティバーンは、ロイヤルタバランスに関する一定量の使用を表します。それは顧客への入院に集められるために使われます。,Product Domain,1,Loyalty Program ABE
LoyaltyEarn,LoyaltyEarn,ロイヤリティは、ロイヤルタバランスに入金された利益を表します。,Product Domain,1,Loyalty Program ABE
LoyaltyExecutionPoint,LoyaltyExecutionPoint,LoyaltyExecutionPointはPolicyExecutionPointの一種です。ロイヤルティファイルは、ロイヤリティの適用を追跡し、ビジネスインタラクション、顧客製品製品、またはロイヤリティを引き起こす可能性があります。,Product Domain,1,Loyalty Program ABE
