ID,LEVEL,PARENT,NAME,TYPE,FUNCID,CATEGORY,DESCRIPTION,FUNCTION,MATURITY_LEVEL,SWAGGER,SPECIFICATION,CONFORMANCE_PROFILE,CTK,SAMPLE IMPLEMENTATION CODE,POSTMAN COLLECTION,RELEASE,VERSION,LIFECYCLE STATUS
TMF671,2,top,Promotion API,,,,"Used to provide the additional discount, voucher, bonus or gift to the customer who meets the pre-defined criteria. Using promotion, the enterprise is able to attract the users and encourage more consumption, especially continuous purchases. Normally Promotion is not regarded as one type of product or product offering. It is often applied when the customer buys the product offerings with the price or amount surpassing the certain limit",,,,,,Not yet available,Not yet available,Not yet available,18.0.1,,Production
TMF648,2,top,Quote Management API,,,,The Quote API is one of the Pre-Ordering Management APIs. The customer Quote API provides a standardized mechanism for placing a customer quote with all of the necessary quote parameters.,,,,,,,,,"19.0.1
(v4.0.0)",,Production
TMF680,2,top,Recommendation API,,,,"Recommendation API is used to recommend offering quickly based on the history and real-time context of a customer. It is a real-time and personalized recommendation API. It is usually provided by e-commerce or BSS, CRM system in omni-channel.",,,,,,Not yet available,Not yet available,Not yet available,18.0.1,,Production
TMF634,2,top,Resource Catalog Management API,,,,The Resource Catalog Management API REST specification allows the management of the entire lifecycle of the Resource Catalog elements and the consultation of resource catalog elements during several processes such as ordering process.,,,,,,Not yet available,Not yet available,Not yet available,17.0.1,,Production
TMF664,2,top,Resource Function Activation and Configuration API,,,,"This API introduces Resource Function which is used to represent a Network Service as well as a Network Function. The Network Service and Network Function class definitions and associations in TR244 (which, in turn, builds on concepts from the SID addenda on Logical Resource and Service) are utilized to define the Resource Function",,,,,,Not yet available,Not yet available,Not yet available,17.5.1,,Production
TMF639,2,top,Resource Inventory Management API,,,,The intent of this API is to provide a consistent/standardized mechanism to query and manipulate the Resource inventory.,,,,,,,,,"20.5.0
(v4.0.0)",,Production
TMF652,2,top,Resource Ordering Management API,,,,"The REST API for Resource Order Management. It includes the model definition as well as all available operations. Possible actions are creating, updating and retrieving Resource Orders (including filtering). A Resource Order API provides a standard mechanism for placing a Resource Order with all necessary order parameters.",,,,,Not yet available,Not yet available,Not yet available,Not yet available,16.5.1,,Production
TMF685,2,top,Resource Pool Management API,,,,"Resource Pool management API provides a feature of resource reservation at pre-order phase. In order to reserve a physical product, logical product, and virtual product, the API uses the idea of a resource pool.",,,,,,Not yet available,Not yet available,Not yet available,18.0.1,,Production
TMF699,2,top,Sales Management API,,,,"The Sales Management API provides interfaces for Sales Lead, Sales Opportunity, Sales Quote and the other management capabilities to support the sales activities to build relationship with the prospect customer who could be a person or organization that has an interest in the goods and/or services and possibly become the actual customers with one or more subscriptions.",,,,,,,,,"19.0.1
(v4.0.0)",,Production
TMF910,2,top,Self Care API Component Suite,,,,The Self Care API component suite covers the operations required to be exposed in order to provide the functionality required by a SelfCare application used by a Service Provider to allow its customers to manage the services it has subscribed to.,,,,,Not yet available,Not yet available,Not yet available,Not yet available,18.0.1,,Production
TMF640,2,top,Service Activation and Configuration API,,,,"The REST API for Activation and Configuration allows the user to retrieve, create, update, delete services and retrieve the monitor resource used to monitor the execution of asynchronous requests on a specific resource. Although all the examples given in the API specification are relative to Services, the same API can be used to Activate and Configure Services or Resources.",,,,,,,,,"20.5.0
(v4.0.0)",,Production
TMF633,2,top,Service Catalog API,,,,The Service Catalog Management API allows the management of the entire lifecycle of the service catalog elements.,,,,,,,,,18.5.1,,Production
TMF638,2,top,Service Inventory Management API,,,,The intent of this API is to provide a consistent/standardized mechanism to query and manipulate the Service inventory.,,,,,,,,,"20.5.0
(v4.0.0)",,Production
TMF641,2,top,Service Ordering Management API,,,,"The REST API for Service Order Management provides a standardized mechanism for placing a service order with all of the necessary order parameters. It allows users to create, update & retrieve Service Orders and manages related notifications.",,,,,,,,,"20.5.0
(v4.0.0)",,Production
TMF656,2,top,Service Problem Management,,,,"The SPM API is used to manage service problems. Service problems are generated based on the information declared by a partner or the event information notified from infrastructure providers. The event information includes alarm information, performance anomaly information, trouble ticket information, SLA violation, maintenance information, and prediction information.",,,,,,,,,18.5.1,,Production
TMF645,2,top,Service Qualification API,,,,Service Qualification API is one of the Pre-Ordering Management APIs. Service Qualification API goal is to provide service availability at Customer location.,,,,,,,,,"20.5.0
(v4.0.0)",,Production
TMF657,2,top,Service Quality Management API,,,,"Through this API, any Enterprise is able to access a Service Quality Management application and extract Service Level Specifications and associated Service Level Objectives (SLO) and their thresholds.",,,,,,Not yet available,Not yet available,Not yet available,18.0.1,,Production
TMF653,2,top,Service Test Management API,,,,"The Service Test API provides a standardized mechanism for placing a service test with all of the necessary test parameters. The API consists of a simple set of operations that interact with CRM/Service Management systems in a consistent manner. A service test is a procedure intended to check the quality, performance, or reliability of a service.",,,,,,,,,"20.5.0
(v4.0.0)",,Production
TMF684,2,top,Shipment Tracking API,,,,"Shipment Tracking captures information about the current status of the shipment, the past checkpoints and the estimated arrival date. Via this API, tracking information can be retrieved by providing an order Id or the shipping company’s tracking id.",,,,,,Not yet available,Not yet available,Not yet available,18.0.1,,Production
TMF663,2,top,Shopping Cart API,,,,"A standardized mechanism for the management of shopping carts. Including creation, update, retrieval, deletion and notification of an event. Shopping Cart entity is used for the temporary selection and reservation of product offerings in e-commerce and retail purchase.",,,,,,,,,"19.0.1
(v4.0.0)

2020/10/12 
CTK Updated",,Production
TMF623,2,top,SLA Management API,,,,"Provides a standardized interface for Service Level Agreement (SLA) life-cycle Management (SLA Negotiation, SLA configuration SLA Activation/enforcement, SLA Operations, SLA violation / consequence handling, SLA reporting) between a Customer and a Service Provider which provides offers (product with attached SLA in its catalogue) the customer can discover, browse, trigger and order.",,,,,Not yet available,Not yet available,,,14.5.1,,Production
TMF621,2,top,Trouble Ticket API,,,,"Provides a standardized client interface to Trouble Ticket Management Systems for creating, tracking and managing trouble tickets among partners as a result of an issue or problem identified by a customer or another system. Examples of Trouble Ticket API clients include CRM applications, network management or fault management systems, or other trouble ticket management systems (e.g. B2B).",,,,,,,,,"19.0.1
(v4.0.0)",,Production
TMF677,2,top,Usage Consumption Management API,,,,"This API provides the real-time value within buckets (SMS, Voice, Data, TV for example) that a customer consumes with each of their devices, related to subscribed communication products without having to wait for the bill cycle. A usage report retrieves the data related to these balances.",,,,,,,,,18.5.1,,Production
TMF635,2,top,Usage Management API,,,,"Provides standardized mechanism for usage management such as creation, update, retrieval, import and export of a collection of usages. The API manages both rated and non-rated usage. For example, it allows a service provider to 1) retrieve usage generated by a partner service platform in order to rate it and 2) to provide rated usage to a partner for consumption follow up purposes.",,,,,,,,,"20.5.0
(v4.0.0)",,Production
TMF672,2,top,User Roles & Permissions API,,,,A user role is defined as the entity that defines a set of privileges covering various functions and/or manageable assets. When a user is assigned a given role then it is actually allocated all the privileges defined for that role type and the corresponding permissions are created for that user.,,,,,,Not yet available,Not yet available,Not yet available,17.0.1,,Production
