Frameworx Function,Description,Function Identifier,Frameworx Application (containing),Vertical Group,Frameworx Domain,Issue
Accounts Receivable Charge Posting,"Accounts Receivable Charge Posting posts invoice charges in Accounts Receivable based on billed charges. It can be invoked by any billing system. Invoice charges accepts information on new charges and credits billed to customers, and updates their account balance accordingly.",35,A/R Management,Billing & Revenue Management,Customer Domain,
Accounts Receivable Reconciliation,Accounts Receivable Reconciliation is matching the detailed amounts of unpaid customer billings to the accounts receivable total stated in the general ledger. This is to prove that the general ledger figure for receivables is justified.,866,General Ledger Account Reconciliation,,Enterprise Domain,Application Framework 21.0 Modification
Acquired Knowledge Storage,Acquired Knowledge Storage provides documenting and storing acquired knowledge to the knowledge base.,1009,Knowledge Acquisition & Documentation,,Enterprise Domain,Application Framework 21.0 Modification
Activation Notification,Activation Notification function provides notifications on successful activation and  in cases of exceptions send fallouts to Service Order Orchestration and manage rollbacks activities (if applicable),583,Service Activation Management,Fulfillment,Service Domain,Application Framework 21.0 Modification
Administrative Advertising,"Administrative Advertising; Corporate advertising supporting systems for advertising that is more public relations than sales promotion, including e.g. recruitment advertising. The supporting systems can include Advertising channels e.g. Internet, social media and mass media.",946,Advertising,,Enterprise Domain,
Advance Payment  Acceptance,Advance Payment  Acceptance; Advance Payments are accepted before initiation of service -  usually at time of ordering.  Interest is not accrued on advance payments.,30,A/R Management,Billing & Revenue Management,Customer Domain,
Affiliate Billing Regulatory Accounting,"Affiliate Billing Regulatory Accounting; Regulatory Accounting function for Affiliate billing to comply with federal regulations. In the US, it is specially Title 47, Part 64 (Telecommunication - Miscellaneous Rules Relating to Common Carriers).",873,Regulatory Accounting,,Enterprise Domain,
Affiliate Billing Reporting,Affiliate Billing Reporting provides Financial Core Operations Reporting of the Affiliate Billing Regulatory Accounting,840,Financial Core Operations Reporting,,Enterprise Domain,Application Framework 21.0 Modification
Agreed-upon Dispute Adjustment,"Agreed-upon Dispute Adjustment applies an agreed-upon adjustment to settle a customer dispute, with notations, is entered pending research and approval.",301,Dispute Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Alarm Correlation,"Alarm Correlation includes Alarm de-duplication, Alarm auto-clearing, Alarm thresholding and Alarm Correlation that is alarm element and element topology aware for enrichment, filtering and consolidation of alarms.",420,Fault Correlation & Root Cause Analysis,Assurance,Resource Domain,
Anomaly Monitoring Data Analyzing,Anomaly Monitoring Data Analyzing function is analyzing monitoring Data Events by  Log Correlation and Intrusion Detection Systems analysis,904,Anomaly Management,,Enterprise Domain,Application Framework 21.0 Modification
Anomaly Monitoring,"Anomaly Monitoring; System and network monitoring activity, determining whether it is normal or anomalous, based on rules, signatures or heuristics.",903,Anomaly Management,,Enterprise Domain,
Anonymous User Account Creation,"Anonymous User Account Creation provides account creation for anonymous user account, either through external customer self empowered fulfillment function or internal customer support access.",260,Customer Self Empowered Fulfillment,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
API Authentication,"API Authentication; Application Programming Interface Authentication function supports standard authentication and authorization protocols (WS-Federation, SAML, OAuth, etc.), for both internal and external applications, API developers and users. 
Protect: The broker Protect task may impose access restrictions to some service consumers, in order to protect service enablers from abuse or undesired usage. Some common examples are the configuration of an IP address range restriction or a limit to the maximum message size accepted.",680,API Gateway,,Integration Domain,
API Catalog Management,"API Catalog Management; Application Programming Interface Catalog Management function  is a technical/commercial API Catalogue as an implementation of Catalog Management (11.1) containing metadata related to: API creation driven by project definition templates and configuration wizards, API dependencies registry, API search, API contracts management, API proxies and stubs code-generators, etc.",686,API Management,,Integration Domain,
API Developers Interaction,"API Developers Interaction function gives access to 
> Technical/commercial API Catalogue with easy to search and discover APIs, and API documentation and code examples. E.g. the ""API Catalog Management"" application.
> Performance and usage reports from the monitoring and logging functions
> Technical support (online, email, forums, etc.).",689,API Management,,Integration Domain,Application Framework 21.0 Modification
API Gateway Caching,"API Gateway Caching; The Application Programming Interface Gateway function (a.k.a.“API Broker”, “or simply, “API Runtime”) caching function. By caching specific service enabler operation responses, the broker can improve its responsiveness by reducing the number of requests to an underlying service enabler to whenever its responses are not already cached.",677,"API Gateway
API Management",,Integration Domain,Application Framework 17.5 Modification
API Gateway Diagnosis,API Gateway Diagnosis function diagnose task dynamically and updates underlying management systems such as the Windows Management Instrumentation performance counters so that they can be monitored and reported upon by the monitoring service.,682,API Gateway,,Integration Domain,Application Framework 21.0 Modification
API Gateway Event Routing,"API Gateway Event Routing function evaluates decision tasks making  it possible to have decision trees within a workflow or policy evaluation, at any nesting level. This is the basis for many possible micro-workflow related activities, making possible to configure a decision point structure where multiple option are present e.g. Charging, Application Management ( managing account information for recognizing applications and application developers)",681,"API Gateway
API Management",,Integration Domain,"Application Framework 17.5 Modification
Application Framework 21.0 Modification"
API Gateway Log Reporting,API Gateway Log Reporting; Application Programming Interface Gateway Log Reporting function gives the possibility to deliver the log information in different channels and offer great flexibility for both operation and debug scenarios. E.g. to 3rd party for the sake of  visualization of API usage or security audit etc. by itself or for Call Detail Record reporting for calculating API usage fee.,683,API Gateway,,Integration Domain,
API Gateway Logging,"API Gateway Logging; Application Programming Interface Gateway Logging function log task enables the logging of any request or response at any time during the processing of a strategy. The function should be able to execute synchronously or asynchronously, and target a designated file system path, database server, HTTP URL, or email address. If configurable to run only for a specific request or response message of a specific user (or user role) the task can be targeted to a specific operation of a specific service enabler. These granularities together with the possibility to deliver the log information in different channels offer great flexibility for both operation and debug scenarios. Including CDR creation of Call Detail Record for calculating API usage fee.",684,API Gateway,,Integration Domain,
API Gateway Protocol Data Transformation,"API Gateway Protocol Data Transformation provides Format and Data Model transformations and Protocol Bridging between most or all common Web standards including:
> Parameter transform: modifications of parameter names and/or parameter values
> Method transform: modifications of the method specified in API request (e.g., POST to DELETE)
> Error information transform: modifications of error information in the body part of API response
> Status code transform: modifications of status code in the API response 
> Information masking: filtering some information in the API response based on query parameters in API request or based on API provider’s policy
> Abstraction: conceptually transformations of the meanings of parameters or decrease of the number of request parameters
Application Programming Interface Gateway Mediation function with support for Data Format, Data Model transformations and Protocol Bridging between most or all common Web standards including:
> Parameter transform: modifications of parameter names and/or parameter values
> Method transform: modifications of the method specified in API request (e.g., POST to DELETE)
> Error information transform: modifications of error information in the body part of API response
> Status code transform: modifications of status code in the API response 
> Information masking: filtering some information in the API response based on query parameters in API request or based on API provider’s policy
> Abstraction: conceptually transformations of the meanings of parameters or decrease of the number of request parameters",678,API Gateway,,Integration Domain,Application Framework 21.0 Modification
API Gateway Protocol Header Transformation,"API Gateway Protocol Header Transformation function for awareness and support of Web protocols semantics (MIME types, HTTP Authorization and Caching headers, etc.) 
> Header transform with modifications of header names and/or header information (e.g., service enabler-specific header to IANA-based header)
> Protocol transform: transformations of protocol to send API requests/responses (e.g., SOAP to REST)
> Mash-up (Composition): assembling a new API with existing APIs provided by service enabler.",985,API Gateway,,Integration Domain,Application Framework 21.0 Modification
API Gateway Routing,"API Gateway Routing; Application Programming Interface Gateway Routing function performes content-based routing, fail-over, load balancing, and broadcasting of requests. 
The gateway can also validate to ensures that only valid messages (according to their contract’s schema) are routed to the remote host (Inbound and Outbound flow control). This capability lowers dramatically the number of malformed messages that are presented to a given service enabler, and by doing so contributes to maximize the performance and scalability of that service enabler.",679,"API Gateway
API Management",,Integration Domain,Application Framework 17.5 Modification
API Lifecycle Management Access Control,"API Lifecycle Management Access Control; Access control policies based on a Role-Based Access Control (RBAC) system that restrict permissions for Create, Read, Update and Delete, thus enabling different stakeholders wrights.",669,API Management,,Integration Domain,
API Lifecycle Monitoring,"API Lifecycle Monitoring; Application Programming Interface Lifecycle Monitoring function supports real-time monitoring and reporting QoS (requests per second, exceptions, latency, etc.);",685,API Management,,Integration Domain,
API Operation Configuration,"API Operation Configuration function performs configuration of all API Runtime behaviors (see previous component) using a model-driven language or other type of DSL (Domain-Specific Language), and Real-time monitor and report QoS (requests per second, exceptions, latency, etc.)",688,"API Lifecycle Management
API Management",,Integration Domain,"Application Framework 17.5 Modification
Application Framework 21.0 Modification"
API Retirement Management,"API Retirement Management; Application Programming Interface Retiring Management function is an API retirement function driven by project definition templates and configuration wizards to do API dependencies de-registration, API deployment removal, API catalog item removal etc.",687,API Management,,Integration Domain,
Application Access,"Application Access provide access interfaces with authentication and authorization control for the requests and responses related to the application’s functionality, including event logging and usage statistics.",1025,Data Transformation and Formatting,,Enterprise Domain,Application Framework 21.0 Modification
Application Security Management,Application Security Management administrates the roles and rules that applies to getting the right to use an application.,898,Application Security,,Enterprise Domain,
Archive Administration,Archive Administration provide archive maintenance and administrative functions. Typical documents are stored online for short periods. Maintenance implies offloading to external storage depending on retention periods.,305,Document Archiving,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Archived Cases Retrieval,Archived Cases Retrieval function provide the means to retrieve the archived cases as needed.,97,Case Archival,Assurance,Customer Domain,
Archived Data Retrieval,"Archived Data Retrieval provide retrieval mechanisms for external systems. External systems can be customer care, self  care or offline storage systems.",307,Document Archiving,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Archiving Data Storage,Archiving Data Storage provides document archive compression and storage of transactional document data,306,Document Archiving,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Assigned Products Maintenance,"Assigned Products Maintenance permits to define and update :
- product characteristics
- links with the related service or resource (handsets, SIM cards, ...) needed to deliver the product, ...",180,Customer Self Empowered Fulfillment,,Enterprise Domain,Application Framework 21.0 Modification
Audit Findings Documentation,Audit Findings Documentation; Auditing function for Documentation of audit findings and associated resolutions,870,Auditing,,Enterprise Domain,
Authorization Control Management,Authorization Control Management sets and administrates the Role and Rule based access to functions.,900,Application Security,,Enterprise Domain,Application Framework 21.0 Modification
Automated Billing/Settlement Monitoring,"Automated Billing/Settlement Monitoring tools for monitoring of automated billing, settlement and payment to ease and expedite dispute management.",659,Wholesale / Interconnect Billing,Billing & Revenue Management,Business Partner Domain,Application Framework 21.0 Modification
Automated Resource Test Invocation,Automated Resource Test Invocation does invocation of Resource Test Services for test and retrieval of results  from the resource testing capabilities. Automatic testing is performed to verify or dismiss an  error indication by the automatic performance and quality super vision function,516,"Resource Test Services
Resource Verification Management",Readiness & Operations Support,Resource Domain,Application Framework 21.0 Modification
Automated Service Test Invocation,Automated Service Test Invocation provides automated invocation of Service Test Services for test and retrieval of results  from the resource testing capabilities.,581,Service Test Services,Readiness & Operations Support,Service Domain,Application Framework 21.0 Modification
Automatic Solution Validation,Automatic Solution Validation – Obtain configurations constraints from the catalog and validates the correctness of the design against them.,930,Solution Design,Fulfillment,Market Sales Domain,
Awards & Recognition Assigning,"Awards & Recognition Assigning provides the following functionality:
• Provides tools and processes to generate awards such as monetary or item.",787,Awards & Recognition,,Enterprise Domain,
Awards & Recognition Guideline Management,"Awards & Recognition Guideline Management provides the following functionality:
• Provides guidelines for appropriate employee recognition. 
• Provides guidelines for appropriate employee awards.",786,Awards & Recognition,,Enterprise Domain,
Background Customer Profiling,"Background Customer Profiling based on demographics, interests, shopping interaction, billing history etc",228,Customer Profiling,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Balance Data Retrieval,"Balance Data Retrieval provides a retrieval function to requests regarding balances status', values etc.",43,Balance Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Balance Expiration Dates Setting,Balance Expiration Dates Setting records definition and settings of policies regarding temporal aspects of balance.,42,Balance Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Balance Information Reporting,"Balance Information Reporting provides communication of balance information to the financial systems (e.g. General Ledger, Accounts Receivable) within the enterprise.",47,Balance Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Balance Management Activities Logging,Balance Management Activities Logging provide transaction logs to support reporting activities.,50,Balance Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Balance Management Spending-limits Enforcement,Balance Management Spending-limits Enforcement enforces spending-limits and credit-control for postpaid balances.,49,Balance Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Balance Replenishment,Balance Replenishment will top-up recharge of prepaid balances from postpaid accounts (e.g. credit card or credit balance).,51,Balance Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Balance Sheet and Income Statement Accounts Reconciliation,Balance Sheet and Income Statement Accounts Reconciliation; General Ledger Account Reconciliation function for Other Balance Sheet and Income Statement Accounts,869,General Ledger Account Reconciliation,,Enterprise Domain,
Balance Statement Data Retrieval,Balance Statement Data Retrieval provides answer function to query of Billing related Balances including un-billed balance,64,Bill Inquiry,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Bank Interface Direct Debit Payment Receiving,Bank Interface Direct Debit Payment Receiving supports receiving of direct debit payments from the nominated (specified) bank accounts.,321,Payment Interface Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Bank Statement Reconciliation,Bank Statement Reconciliation; Cash Reconciliation & Escheatment function for Bank Statement Reconciliations,859,Cash Reconciliation & Escheatment,,Enterprise Domain,
Bill-time Fee Calculation,Bill-time Fee Calculation calculates and applies bill-time fees where necessary,58,Customer Bill Charge Calculation,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Bill Charges Aggregation,"Bill Charges Aggregation function determines charges,( including recurring, one time and usage charges) for purchased products and services in a given bill run based on the customer price plan set at time of the customer order/contract negotiation.",183,Customer Bill Charge Calculation,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Bill Dispute Customer Notification,"Bill Dispute Customer Notification provides a notification after a dispute investigation of the settlement result. The customer notification may report of the results, dispute granted (for the whole disputed amount or part of it) or customer request denied.",39,Adjustments,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Bill Dispute Initiation,"Bill Dispute Initiation; Bill dispute consists of handling the customer inquiries received through customer service, self care or any other channel about their bills that have not been solved by simple actions (e.g walk customer through their invoice or grant the request when disputed amount is inferior to a threshold).
•The initial customer contact and the disputed amount are recorded.",37,Adjustments,Billing & Revenue Management,Customer Domain,
Bill Dispute Investigation Support,"Bill Dispute Investigation Support provides support to the investigation of the customer inquiries received through customer service, self care or any other channel about their bills that have not been solved by simple actions. This includes e.g walk customer through their invoice or grant the request when disputed amount is inferior to a threshold.
The case is investigated using billing data (invoice images, billed items, usage history) A/R data (e.g search of unmatched payment) and others (e.g installed products, network databases…).",38,Adjustments,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Bill Image Presentation,Bill Image Presentation provides presentation of an exact bill image  or after invoking a transactional document generation function.,65,Bill Inquiry,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Billing Account  Information Configuration,"Billing Account  Information Configuration updates specific billing account information such as customer bill periods, bill media options, etc.",77,Billing Account Configuration Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Billing Account Prepaid Automatic Replenishment,Billing Account Prepaid Automatic Replenishment provides automatic replenishment of prepaid billing account from postpaid billing account,71,Billing Account Associations Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Billing Account Price Plan Determining,Billing Account Price Plan Determining associates a charge record with the appropriate price plan.,72,Billing Account Associations Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Billing Account Reporting,Billing Account Reporting; Grouping charges/statement/accounts for the purpose of creating a report,73,Billing Account Associations Management,Billing & Revenue Management,Customer Domain,
Billing Account Structure Configuration,Billing Account Structure Configuration modifies billing accounts based on various account constructs.,76,Billing Account Configuration Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Billing Accounts Creation,Billing Accounts Creation provides the ability to create billing accounts based on various account constructs. Account creation can also be automated with orders received,75,Billing Account Configuration Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Billing Administration,"Billing Administration; The Billing Administration function manages the data that are necessary to perform the bill calculation : billing cycle data, management of runs, groups and cycles of invoicing.",316,Bill Cycle Run Management,Billing & Revenue Management,Customer Domain,
Billing Event Aggregation,Billing Event Aggregation is part of the Billing Event Processing to supply aggregated billing events to the Billing System,89,Billing Event Processing,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Billing Event Collection,"Billing Event Collection function for the Billing Event Processing, including the use of gateway functions,  to supply relevant usage data to the Billing System",83,Billing Event Processing,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Billing Event Error Correction,Billing Event Error Correction provides correction capabilities via mechanized script or manual correction,78,Billing Event Error Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Billing Event Error Identification,Billing Event Error Identification features to identify the error cause,79,Billing Event Error Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Billing Event Error Re-distribution,Billing Event Error Re-distribution; Re-distribution features to send the usage to the proper destination(s).,80,Billing Event Error Management,Billing & Revenue Management,Customer Domain,
Billing Event Mediation,Billing Event Mediation function that converts records into a format compatible to the Billing System,88,Billing Event Processing,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Billing Event Processing Analyzing,"Billing Event Processing Analyzing provides billing event analysis and 
billing event aggregations analysis to control the usage data sent to the Billing System",90,Billing Event Processing,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Billing Event Processing Distribution,"Billing Event Processing Distribution function for correlation and distribution of usage data for processing of e.g. bill, customer and product. To supply relevant usage data to the Billing System",85,Billing Event Processing,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Billing Event Processing Enrichment,"Billing Event Processing Enrichment with complementing data e.g. product-, or location-information to supply relevant information to the Billing System",86,Billing Event Processing,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Billing Event Processing Guiding,Billing Event Processing Guiding support for a consistent processing,87,Billing Event Processing,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Billing Financial transaction creation,Billing Financial transaction creation; Create appropriate transactions regarding the current invoice for Receivables Management,57,Customer Bill Charge Calculation,Billing & Revenue Management,Customer Domain,
Billing Initialization,Billing Initialization provides that A/R calculates and sends to the Bill Calculation application the required information for accounts that are going to be processed.,32,A/R Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Billing Management Integration,Billing Management Integration provide a Virtual Network Operators online access function to make them self sufficient for Billing management. Including the use of VNO/Dealer data fencing.,399,"Retail Outlets
Virtual Network Operators (Dealers)",Fulfillment,Market Sales Domain,Application Framework 21.0 Modification
Bills and Letter Template Creation,Bills and Letter Template Creation develops and maintains the bill or letter template,330,Transactional Document Formatter,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
BPM Workflow Sequencing,"BPM Workflow Sequencing provides a process execution engine that  initiates processes and sequences of process steps, work items and work lists of workflows in an automated way.",674,Business Process Management & Workflow,,Integration Domain,Application Framework 21.0 Modification
Budget to Actual Variance Reporting,Budget to Actual Variance Reporting; Financial Business Unit Reporting function for Budget to Actual variance reporting and year over year comparisons,845,Financial Business Unit Reporting,,Enterprise Domain,
Building Access Control,"Building Access Control checks, stops or allow physical access to facilities according to access roles and rules.",897,Building Access Management,,Enterprise Domain,Application Framework 21.0 Modification
Building Portfolios Management,Building Portfolios Management manages different types of property and in different real estate markets. Building portfolio functions supports the management of the property portfolio.,876,Real Estate Property & Building Portfolio and Lease Management,,Enterprise Domain,Application Framework 21.0 Modification
Business Intelligence  Offline Document Delivering,"Business Intelligence  Offline Document Delivering consists of the technologies utilized to present information to BI users in the format requested to be used when disconnected. E.g. Alert and Collect, Pre-formatted Reports, File formats.",697,BI Delivery Mechanism(Deleted),,Enterprise Domain,Application Framework 21.0 Modification
Business Intelligence  User Integration,Business Intelligence  User Integration provides integration between business intelligence functions to Customer Facing Business Intelligence Office Suites User Interfaces and/or Desktop Gadgets consisting of technologies utilized to present information in the format requested and through the desired user interface. E.g. Dashboards,696,BI Delivery Mechanism(Deleted),,Enterprise Domain,Application Framework 21.0 Modification
Business Intelligence Analysis Result Notification,"Business Intelligence Analysis Result Notification assist the delivery functions by sending alerts to Customers/Users about new or changed Analytics, Metrics, KPI etc. data according to requested criteria.",705,BI Reporting(Deleted),,Enterprise Domain,Application Framework 21.0 Modification
Business Intelligence Guided Searching,Business Intelligence Guided Searching provide a function for Guided Searching in business information databases to gather relevant data for manual or automated analysis.,690,BI Analytics(Deleted),,Enterprise Domain,Application Framework 21.0 Modification
Business Intelligence Interactive Analyzing,"Business Intelligence Interactive Analyzing is a Business Intelligence analytic function used for mathematical and statistical analysis of data - calculating correlations, trends, and patterns using complex algorithms and modeling to support Operational Decision Support Systems. Supporting interactive analysis of business data, On-line over e.g. a web-client. The analysis function is often guided or using complex algorithms. E.g OLAP and Data Mining.
Information includes, but is not limited to  
• on market: knowledge of the market shares by region with general trends, potentials in volume, in CA
• on customer and consumer expectations and motivations, new modes of consumption, calculation of the customer average revenues according to the offer range and flow (acquisition, churn, migration).
• on distribution: general trends, new distribution channel
• on competition: anticipate the competition strategy by analysis of the market shares and competition and evolution assumptions, positioning, target.
• for environment: politic, economic (cartography of the geo-merchandising zones), technologic, ecological, legislative
• on Company Performances: turnover evolution, profitability, financial means
• for customers: enterprise image & fame, qualification of the customers (loyalty, satisfaction, contact mode, frequency, income, purchasing power, equipment…), purchase behavior
• market shares by region: penetration rates of the offers by region, number of eligible lines by region.",691,BI Analytics(Deleted),,Enterprise Domain,Application Framework 21.0 Modification
Business Metrics/KPIs Rules Evaluation,"Business Metrics/KPIs Rules Evaluation provides the evaluation of Business Intelligence performance Metrics/KPIs. Performance data is aggregated in the Analytics functions, but business rules for Metrics and KPIs are applied in this function.",700,"BI Performance Management
BI Performance Management(Deleted)",,Enterprise Domain,Application Framework 21.0 Modification
Business Operational Analytics Result Presentation,"Business Operational Analytics Result Presentation  function present Analytics, Metrics, KPI,  Search  etc. data graphically.",704,BI Reporting(Deleted),,Enterprise Domain,Application Framework 21.0 Modification
Business Operational Follow-up Planning,Business Operational Follow-up Planning function follows up the performance of business processes or physical resources such as network components or IT servers and services have different technologies for measurement. The performance follow-up may differ depending on criterions.,701,BI Performance Management(Deleted),,Enterprise Domain,Application Framework 21.0 Modification
Business Operational Statistics Analyzing,"Business Operational Statistics Analyzing provides functions used for mathematical and statistical analysis of data. 
Information includes, but is not limited to  
• on market: knowledge of the market shares by region with general trends, potentials in volume, in CA
• on customer and consumer calculation of the customer average revenues according to the offer range and flow (acquisition, churn, migration).
• on distribution: general trends
• on competition:  analysis of the market shares, positioning, target.
• on Company Performances: turnover evolution, profitability, financial means
• market shares by region: penetration rates of the offers by region, number of eligible lines by region.",694,BI Analytics(Deleted),,Enterprise Domain,Application Framework 21.0 Modification
Business Operational Strategy Management Planning,"Business Operational Strategy Management Planning provides planning, follow up and business rules evaluation. Performance data is aggregated in the Analytics functions, but business rules are applied in this function.",703,BI Performance Management(Deleted),,Enterprise Domain,Application Framework 21.0 Modification
Business Operational Trend Analyzing,"Business Operational Trend Analyzing provides functions used for mathematical and statistical analysis of data - calculating correlations, trends, and patterns using complex algorithms and modeling to support Predictive Analytics 
Information includes, but is not limited to  
• on market: knowledge of the market shares by region with general trends, potentials in volume, in CA
• on customer and consumer expectations and motivations, new modes of consumption, calculation of the customer average revenues according to the offer range and flow (acquisition, churn, migration).
• on distribution: general trends, new distribution channel
• on competition: anticipate the competition strategy by analysis of the market shares and competition and evolution assumptions, positioning, target.
• for environment: politic, economic (cartography of the geo-merchandising zones), technologic, ecological, legislative
• on Company Performances: turnover evolution, profitability, financial means
• for customers: enterprise image & fame, qualification of the customers (loyalty, satisfaction, contact mode, frequency, income, purchasing power, equipment…), purchase behavior
• market shares by region: penetration rates of the offers by region, number of eligible lines by region.",693,BI Analytics(Deleted),,Enterprise Domain,Application Framework 21.0 Modification
Business Operational Usage Analyzing,"Business Operational Usage Analyzing provides functions used for mathematical and statistical analysis of Usage Data: calculating correlations, trends, and patterns using complex algorithms. 
Information includes, but is not limited to  
• on customer and consumer: calculation of the customer average revenues according to the offer range and flow (acquisition, churn, migration).
• for customers: purchase behavior",695,BI Analytics(Deleted),,Enterprise Domain,Application Framework 21.0 Modification
Business Process Designing,"Business Process Designing function is used for individual business process definition by the process owner, (increasingly expressed in a standard language such as UML or some variation of XML). Each Process Definition may be composed of both manual activities and automated activities.",675,Business Process Management & Workflow,,Integration Domain,Application Framework 21.0 Modification
Business Process Management Activity Monitoring,Business Process Management Activity Monitoring provides access to status and performance metrics of the execution of processes.,676,Business Process Management & Workflow,,Integration Domain,Application Framework 21.0 Modification
