ID,LEVEL,PARENT,BlockName,TYPE,ORIGINAL_ID,"Definition & Scope
",FUNCTION,characterized as,DOMAIN,CATEGORY,MATURITY_LEVEL,FRAMEWORX_STATUS
EM.002,2,EM,Journey Management,(2) ODA Core functionalities Type,,"Configure and adapt interactions to different types of Parties, Channels etc.",,,,,1,1
EM.003,2,EM,Access to content,(2) ODA Core functionalities Type,,"Access in read only to data contained in different repositories, according to Party rights. It can include access through Front-Ends or via APIs.",,,,,1,1
EM.004,2,EM,Content Aggregation,(2) ODA Core functionalities Type,,"Collects information from multiple internal and / or external sources, including digital body language, and transcodes them for a single presentation format, storing document references.",,,,,1,1
EM.005,2,EM,Content Organization,(2) ODA Core functionalities Type,,Classifies or categorizes data according to predefined ranking plans,,,,,1,1
EM.006,2,EM,Personalization of content,(2) ODA Core functionalities Type,,"Collects user’s preferences and personalization criteria. Adapt contents and renders them based on context, user, interfaces, and according to user’s preferences and personalization criteria.",,,,,1,1
EM.007,2,EM,Filtering of content,(2) ODA Core functionalities Type,,Provides select capabilities for content based on engagement context and criteria.,,,,,1,1
EM.008,2,EM,Information Services,(2) ODA Core functionalities Type,,"Selective notification of information or alerts based on events (including social listening) towards the appropriate Actors, channel and device.",,,,,1,1
EM.009,2,EM,User Interface Orchestration,(2) ODA Core functionalities Type,,"Defines, formats and structures the sequence of user interfaces (UIs) needed by a process.",,,,,1,1
EM.010,2,EM,Integration,(2) ODA Core functionalities Type,,Integrating internal systems/software/devices with external systems/software/devices - this includes social network platforms etc.,,,,,1,1
EM.011,2,EM,API HUB,(2) ODA Core functionalities Type,,Exposes standardized API to Partners and external systems. Manages security and checks Access right policies.,,,,,1,1
EM.012,2,EM,Authentication and Authorization*,(2) ODA Core functionalities Type,,"Correctly authenticates and authorizes a Party, including role management.",,,,,1,1
EM.013,2,EM,User-interaction lifecycle management*,(2) ODA Core functionalities Type,,"Manage Party interactions with the different services (provide consent, configure services, etc.) as well as their relationship with other users (create groups and share services)",,,,,1,1
IM.001,2,IM,Insight Management,(2) ODA Core functionalities Type,,"Insight Management integrates data in the Engagement Management Block, Party Management Block, Core Commerce Management Block and Production Block, to find new relationships and patterns by analyzing historical data, assessing current situation, applying business rules, predicting outcomes, and proposing the next best action.",,,,,1,1
IM.002,2,IM,Autonomic Manager Elements,(2) ODA Core functionalities Type,,"The Autonomic Manager Element's function or Decision Making Element (DE) is to drive control-loops meant to configure and adapt (i.e., regulate) the behavior or state of an ODA resource. Autonomic Management can be implemented to run as an “engine”. (Reference - Generic Autonomic Network Architecture ""GANA"".http://www.etsi.org/deliver/etsi_ts/103100_103199/10319502/01.01.01_60/ts_10319502v010101p.pdf).",,,,,1,1
IM.003,2,IM,Algorithm Management,(2) ODA Core functionalities Type,,"This function provides the environment to develop and deploy patterns or rules or outcome based ""recipes"" for business and operational actions performed by Parties or the Autonomic Manager. It gives developers the ability to edit, compose, integrate, package, train and deploy AI-based microservices. (Reference - https://docs.acumos.org/en/latest/)",,,,,1,1
IM.004,2,IM,Analytic Models,(2) ODA Core functionalities Type,,"Analytics models provide input for Insight Management, functions based on analytic processes (Reference GB979D Big Data Analytics Big Data Repository). Analytic models do not change any operational data but provide functionality to discover, acquire, translate and communicate data and knowledge (synthesized from raw data), relevant to making decisions, feeding decisions or for autonomics. A Cognitive Autonomic Manager (in ETSI GANA Model terms, a Cognitive Decision Element (DE)) as a Deployable AI Model, employs in its operations.",,,,,1,1
IM.005,2,IM,Data Lake,(2) ODA Core functionalities Type,,"The Data Lake function, acquires, manages or prepares data for use by ODA and the enterprise. It includes a data collector function and can translate data from multiple sources in order to create federated information or data models (Data processing and Data storage shall be separated).",,,,,1,1
IM.006,2,IM,Knowledge Plane,(2) ODA Core functionalities Type,,Knowledge Plane references include ETSI GANA (Generic Autonomic Network Architecture) Knowledge Plane specified in ETSI TS 103 195-2 but not limited to it.,,,,,1,1
IM.007,2,IM,Governance Function (Dashboard ),(2) ODA Core functionalities Type,,"It is an instrument that allows the CSP defining Business Policies, Objective /Goal and Intent specifications to be enforced and executed to ensure an optimal operation and achievement of desired objectives and services while keeping control of activation / deactivation of deployed DEs (AI Models), conflicts resolution that may happen and all associated accountability and responsibility aspects",,,,,1,1
IM.008,2,IM,Training Data Repository,(2) ODA Core functionalities Type,,"Various Datasets (e.g., Data extracted from an ODA Data Lake) must be considered in populating the Data Training Repository in order to produce clean and accurate Data and also synthesize knowledge from the data and make the data/knowledge available for AI Model (e.g., Cognitive Autonomic Manager Element/ Cognitive Decision Element (DE)) training and testing processes",,,,,1,1
IM.009,2,IM,Testing and Evaluation,(2) ODA Core functionalities Type,,"Testing and Evaluation System/Component for Testing and Evaluation of the Performance and Quality of “Decision-Making capability” of Cognitive Autonomic Manager Element (DE) as an AI Model, against the expected /predicted targets (prescribed by the CSP) in the CSP’s Testing Environment before declaring and certifying the AI Model (DE) as “operation ready” and “deployable Al Model (DE)” for injection into a Network Element/Function (NE/NF) in the ODA Production or any other ODA Functional Bock or for operationalizing it in the ODA Knowledge Plane (KP) if it is a Knowledge Plane Level DE.",,,,,1,1
